score,likes,comment
1,3189,늑대사냥 볼바에 그 돈으로 더위사냥 여러개 사드세요
2,968,정소민 왜 나온지 아는 사람
3,905,"초반 30분 재밌음 서인국 연기 개 쫄깃하고 ㅈㄴ 기대했는데 ㅅㅂ ㅠ 갑자기 전형적인 한국영화됨스토리 ㅈ망 수위는 한국 최고는 맞음 근데 피 효과음 스프링쿨러 소리에다가 푸슉 푸슉 거리고 피 나오는 효과음만 강조한 것 같음 사운드가 조화롭지 않음 계속 들으니깐 걍 물림 워킹데드랑 수위는 비슷하지만 피 터지는 게 너무 긴장감이 없어서 몇분 보다보면 질림 초반 3-40분이 제일 재밌었음 아니 좋은 배우 데려다가 하,,, 알아서 보셈(서인국 땜에 1점 줄려다가 별점 3점 줌)"
2,832,"그냥사람이터짐 무슨생각으로 이런영화를만든건지,, 정신감정이 필요해보임"
3,637,근본없는 내용으로 두시간은 너무 했다 시간사냥
1,550,중간까진 정말 재밌게 보다 갑자기 스토리가 난해해졌습니다.. 이런 내용일거라곤 정말 상상도 못 해서 할말을 잃고 봤네요 쓸데없이 음향효과도 극대화해 몰입도가 더욱 깨졌습니다 발소리랑 칼소리가 너무 크고 부자연스러워 어이가 없었어요 심지어 잔인한 것도 그럴듯하게 적당히 해야지 계속 보니 가짜같아서 놀랍지도 않았네요 결국 화만 잔뜩난채로 극장에서 나오게 됐습니다
1,497,고어물 매니아가 아니라면 정신건강을 위해 안보는게 좋은 영화
4,469,최악의 낚시 영화. 허무한 sf물
6,393,한국도 이렇게 잔인하게 만들수있구나 하면서 놀랐는데 그 말고는 없음.... 두번은 안 볼듯 근대 서인국은 미쳤드라
10,555,서인국 연기변신 놀랍다....
5,274,마녀로 빠지지말고 죄수 vs 경찰 고어스릴러로 쭉 나갔어야했다. 반전 이후 긴장감은 사라지고 모든 캐릭터가 피분수 내는 인형이 되어버렸다
1,244,초반 20분 서인국이 캐리해서 오 재미있나? 했다가 갑자기 D급 최악의 몬스터 학살 영화로 바뀜.시간이 아깝고 돈이 아까움 중간에 나갈까 몇번이나 생각함
5,218,일단 장르가지고 사기쳤음 잔인해도 경찰과 범죄자들의 숨막히는 액션를 보고싶었는데 뜬금 터미네이터 나옴 또 이해가 안되는게 지들 동료 총맞고 칼맞아 죽었고 범죄자들 소총들고있는데도 꼼짝마 총버려 소리가 왜나옴ㅋㅋㅋ연기는 좋아서 초반에 몰입감 확 올라오다 꼼짝마 총버려에서 깨짐서인국 연기변신 잘한건 인정함
1,221,"이 영화를 이런사람들에게 추천해요1.롯데리아가서 감자튀김 하나 먹으면서 케첩 한주먹씩 가져오시는 분 - 영화 러닝타임동안 꾸준히 케찹이 터집니다 2.본인의 인생 최대로 길게 읽은 책이 껌사면 나오는 4컷 만화일 경우 - 개연성은 저희집 보일러 실에 사는 곱등이 더듬이 보다 없음3.평소 유산소 운동,런닝머신을 하실 경우 -유산소는 자신과의 싸움입니다 달리는 와중에 끈기로 버텨야 합니다 이 영화가 그런 느낌이었습니다 러닝타임동안 유사 유산소 운동을 하고싶으실 경우 추천합니다4.자신은 남들보다 하루가 더 길다 시간이 남아 돌아서 시간을 낭비하고 싶으신 경우 - 본인의 수명이 남들보다 5배 정도 많아서 시간을 버리고 싶다면… 추천5.본인의 영화관 에티켓을 얼마나 잘 지키는지 궁금하신 경우 - 저는 제가 영화관 에티켓을 정말 잘 지킨다고 생각했습니다 하지만 이 영화를 보고 아니라는것을 알게 되었습니다건강한 문화 생활 하시기 바랍니다이 내용에 반박시 제가 무조건 틀렸습니다."
1,192,영화를 보기 전에 여러분이 생각하셨던 그 내용과 스토리가 아닙니다 영화를 보는 내내 얼굴을 찌푸렸고 너무 잔인해서 토할 것 같았습니다
1,172,노답최악감독이 투자자랑 싸워서 복수심에 망쳤나봅니다
1,160,서인국 보고 와 미쳤다 했는데 아래 평점대로 30분만 재밌음 마녀2보고 후회했는데 같은 실수를 반복했네 시간아깝고 돈아까운 느낌
8,165,서인국 대단함 앞부분은 정말 재미있음. 30분 이후 부터는 좀비영화임 .. 너무 잔인함
4,148,보는 나도 피가 솟구친다.
1,161,피 피 피 피뭐 더 없어요
1,157,1점 이상준 사람들 정신에 문제있음
3,130,
1,162,"배우들이 아깝다는 생각이 제일 먼저 들었고 , CGV에서 15000장 공짜로 푸는건 다 이유가 있다 봄 황당한 스토리 진행으로 관객들 실망시킴"
2,162,이걸 영화라고 만들고 자빠졌네 ㅋㅋ 영화 다안보고 나오긴 처음이다 ㅋ
1,140,돈 버리고 싶으면 보시길 최악임; 보러가자고 한 친구한테 쌍욕함
1,121,"피가 난무함. 신선하다. 오 흥미진진 이러고 보다가 갑자기... 무슨 영화를 이렇게...? 뭘 말하고싶으신거죠...? 배우들을 이렇게 쓰신다구요??? 장르파괴 와 예고만보면 범죄스릴러인데 갑자기...참나... 중간부터 물음표가 가득했습니다 영화표도 15,000원인데 돌려주세요 진짜 진지해요"
1,115,연출자께서는 메이즈러너 사례를 복기해보심이 좋을듯하며 소개 및 단순홍보를 넘어 각종 낚시성 홍보에 동참한 영화채널 유튜버님들도 정말 컨텐츠에 한점 부끄러움이 없으셨는지 생각해보는 시간이 되시길 바랍니다. 36년 인생에 처음 댓글리뷰 남겨봅니다.
10,177,서인국 돌은 눈빛 지렸고 영화보면서 숨참으면서 봤음 하드코어 그 잡채..잔인한거 좋아하시는 분은 강추
1,96,ㅋㅋㅋ 진짜 내 자신에게 미안하다..
10,124,서인국 연기변신.. 말잇못..
2,93,"별로 안 궁금하고 알고싶지도 않은데 자꾸 이상한 내용을 츄라이 츄라이 하는 기분이다. 확실한 건 딱 중간을 넘어가면서 영화가 길을 잃은 것 같다. 결국 보여준 건 아무 것도 없고, 살살 간보던 떡밥들은 아무 설명 없이 후속작으로 은근슬쩍 떠넘기고, 남은 건 의미 없이 가학적으로 죽어나간 캐릭터들 뿐이었다. 이게 뭐냐..."
4,110,피는 진짜 많이 튄다...그런데 그게...다인듯... 다른건 다 별로... 악마를 보았다 보다 더 피와 살이 튄다..영화 내내...하지만 그게 악마를 보았다 만큼 고통스럽게 느껴지진 않더라구... 사실 너무 현실감이 없어서...쩝...오히려..무슨 게임이나 애니메이션 같더라...
1,93,김홍선 영화 만들지마성동일 약점 잡힘
2,96,고어 팬들에게는 약하고... 일반인들에겐 과한... 아무것도 잡지 못 한영화... 같은 장면만 반복되어 지루해진다..
10,120,서인국 되게 오랜만에 강렬하네
6,82,서인국표 범죄 느와르 영화를 기대하고 갔으나 성동일표 마녀1.5를 보고 나옴. 2편 만들겠다고 떡밥은 뿌려놨는데 과연...ㅋㅋㅋ
8,100,모든 배우의 연기는 높이삽니다.. 그러나 너무 잔인해서.. 2번 보긴 힘들듯 해요..서인국의 연기 변신은 아주 칭찬합니다..^^
2,101,서인국 만 생각나는 영화
5,73,괴수가 안나왔다면 더 재밌었을텐데
1,100,개연성 없고 중간에 스토리가 급 변경되며 밑도 끝도 없이 무조건 너무 잔인한 살인과 폭력만이 가득한 영화. 하드코어 고어물인가요?
10,106,서인국 연기변신은 대성공인듯완전 새롭고 연기도 진짜 잘하네요.출연하는 배우들이 연기력이 좋아서 몰입감이 ㅎㄷㄷ 간만에 시원하고 화끈한 영화 본듯 취향저격 영화였음 ㅎㅎ
10,163,출연 배우들을 다시 보게되는 영화. 서인국에게 이런 강렬한 모습이?!
1,84,"와. 1점도 아까움.왜만든거에요? 영화? 결말도 이상하고? 이게 무슨??내용도 없고, 좋은 배우들 갖다 써놓고 대체 뭐한건지 1도 모르겠어요...이제 영화계에서 내려오실때가 됬나봅니다 감독님..."
8,95,잔인하고 액션 좋다 객관적으로...서인국 눈빛이 살벌하다 OOOO 피가 어마어마하다 난 잼있게 봤음~ 강시같음
10,121,서인국 액션 찢었다.. 와 진짜 숨 참고 봤다 ㅠㅠㅠㅠ
9,95,"와 진짜 토나오게 잔인함... 처음엔 피가 너무 많이 나와서 적응 안됐는데 너무 많이 나오니까나중엔 그냥 적응되서 괜찮...ㅋㅋㅋ초반엔 서인국이 OOOO같았고, 중반부턴 감독이 또라이같았고 후반엔 재밌다고 느껴지는 내가 또라이같음"
10,107,청불 중의 청불! 이제 서인국 볼때마다 무서울듯 연기변신 제대로!!
3,65,눈이썩음 눈. 이. 썩. 음
10,114,서인국 연기 변신 확실히 성공했네요눈빛연기 최고네요 !!! 악역도 어쩜 이리 잘하시는지 놀랐어요. 영화는 몰입감 최고네요 시간순삭 입니다 2편도 너무 기다려져요
10,110,서인국 연기 잘하는지는 알았지만 진짜 대박이다 ㄷㄷ 너무 강렬하고 존잼 시간순삭됐음
4,64,
1,80,돈을 주고 보는게 아닌 받고 봐야되것네
1,111,거짓말 아니고 영화보다 1시간 남겨놓고 나온거 처음이고 평점 1점 준 영화도 처음입니다. 시간 아까운 적 처음이라니 와우 ....
10,76,배우들이 열연한 영화
5,65,"잔인함이 문제가 아니라, 중반 이후 산으로 가는 이야기가 문제"
1,70,낚시 당했네요 ㅠㅠ그것이 걸어다닐때 로봇처럼 쾅쾅 소리나는데... 이해안됨..소음기달린 권총의소리도 구분못하는 음향팀이라니...ㅋㅋ 모든 효과음이 따로 노는듯한 느낌...효과음때문에 더 망한영화..
1,70,아 내 인생역대급영화.영화관에서 돈아깝기 쉽지 않은데.정말 돈은 잘 써야하는구나 이런데다가 버리는게 아니라는걸 상기시켜주는 교훈이 있는 영화
1,68,보다가 나온영화 처음...
1,79,"진짜 보다가 스트레스 받음... 잔인하고 고어적인 요소가 아니고 그냥 스토리가 없어서 제발,,, 보지 말았으면.."
10,96,잔인성 쫄보인데 훅훅지나가서 괜찮았고 프리퀄과 시퀄이 기대되는 작품 서인국 정문성 나쁜놈인데 섹시해
1,58,초반 30분만 볼만해요. 그 뒤로 나와서 나 혼자 영화 스토라를 상상하는게 더 재밌을 것 같아요. 여태 본 영화 중에 최악
1,58,돈 많이 쳐바른 3류 영화느낌..배우들은 연기를 잘하나연출이.. ㅜㅜㅜ알파는 평발 층간소음 유발자인가..영화내내 똑같은 발소리 디테일이 몹시 아쉽네요..기억에 남는건 서인국과 쾅쾅이뿐
8,71,범죄스릴러인줄 알았는데. 크리처가 나오는 공포 액션. 스포없이 보면 굿. 단 영상은 잔인 그자체.
10,95,진짜 간만에 화끈한 청불 액션 영화!서인국 연기가 아주 미쳤습니다 강추!
2,73,뭔가 보여주려는 잔임함이 아니다.그냥 무식하게 잔인하다.이런걸 돈주고 보러간 내가 한심하지만.보다 나온건 칭찬하고싶다.저런걸 영화라고 찍는 감독은 뭘까?
3,57,???: 어때? 우리 영화 엄청 잔인하지?
1,65,진짜 잔인한 영화.. 도대체 왜 만들었는지 의문인 영화
2,53,뒤로갈수록 헛웃음이 나오더라
8,53,살벌하다…식사전 관람금지…
8,57,영화자체가 예상이 되는게 하나도 없음. 그게 장점이고 단점임. 아무것도 예상못함
2,64,영화보다가 지루하면 자는편인데이건 보다가 정말 아니다 싶어서 중간에 보다가 나왔음
1,51,"피만 분수처럼 뿜어대는거 말고는 액션도 별볼일 없고 스토리도 폭망, 후반부로 갈수록 서로 대치되는 긴장감 없이 깜짝깜짝 놀래키기만하고 재미고 뭐고 없는영화. 감독은 마녀같은걸 원한거같은데 자꾸 7광구가 떠오르는건 뭐때문일까...."
2,58,모든할인적용 결제는 네이버페이 포인트아니었음 환불각 여친한테 이딴영화 예매했냐고 불꽃싸다구 맞을뻔함
6,56,무엇을 상상하든 그건 못볼것이다.
4,58,영화 끝나는 내내 사람이 터진다속이 다 미슥거리네.. 강약 조절도 없고 이건 뭐....그리고 총은 쏴야할땐 안쏘고안쏴야할때 난사하는거냐??
1,69,"스페셜 막장 최고 영상(영화아님)!!이걸 영화라고 만들다니..개연성, 합리적 전개를 도무지 찾을래야 찾을수 없는.. 끝까지 영화관에 앉아있었던게 두고두고 후회되는 내가 본 인생 최악졸작!언놈이 이런 쓰레기영화에 투자를 하는지..목적도.. 의미도.. 감동도.. 1도없는데..아직까지 일본에 당한 코스프레에 의지하는.. 그래서 일본과 외교적 관계회복되기는 커녕.. 분쟁일으킬 미친 의도!평점에 0을 줄 방법이 없어서.. 아쉽다!이런 되도않은 영화에 평을 쓰고 있는 내가 미쳤다!!절대 보지 마세요! 혹시 호기심에 보는 분들 없기를 진심으로 권고합니다!"
5,45,서인국의 연기 변신은 놀라웠지만..
1,48,극초반에 힘 다쓰고 갑자기 터미네이터 B급 패러디물됨..
1,55,감독이 점점 정신이 이상해지는...관객을 생각하고 만든 것인지 제작자를 생개하고 만든 것인지...제작자의 생각이 듣고 싶을 정도.이 영화를 선택하고 연기한 배우들의 생각도 듣고 싶네!왜 서인국이 맨 앞에 뜨는데?이유가 뭔지?낚시?
1,59,하... 진짜 내 생애 처음 토쏠리는 영화 참고로 나는 고어물 좋아한다 근데 이건 아니지...
1,60,진짜 기대하고 오늘 바로 극장 갔는데 말도 안되는 스토리랑 전개.. 걍 보다가 포기 했음 초반 10분 재밌다가 30분 부터 끝 까지 욕나옴
2,64,걍아바타한번더보세요
1,62,"도대체 무슨 생각으로 만들었으며.. 무슨 생각으로 투자한건지 모르겠는 영화.. 참으면서 보다가 1시간만에 나옴.. 감독이 투자자랑 싸웠나? 라는 생각밖에 안 들고.. 내 14,000원 아까워죽겠음"
9,70,청불인 이유가 있네요. 놀랄 정도로 잔인해요. 재미는 있었습니다.
10,73,"강렬함,쎄다,화끈하다 이런 단어가 어울리는 영화!특히 서인국의 연기는 그동안 보지못했던 연기변신이 신선했음"
10,92,보는 내내 압도당함...오랜만에 긴박감 넘치는 영화 봤다..
1,49,진짜 핵 노잼 나가고 싶은거 참있음 ㄹㅇ;
1,50,어우 진짜 노답영화네~ ㅋㅋ
1,52,
10,112,한국영화에서 보기 힘든 장르 ㄷㄷ 보는 내내 이영화 미쳤다는 생각밖에 안들었다
5,43,아...다신 보고 싶지 않다..으..
1,43,제에에에에발 보지마세요
4,43,너무 잔인하기만 하고 사람들이 다 죽어나가니까 매력있어 보이는 캐릭터들은 일찍 죽고 기억에 남는 관계성도 없고 거의 비슷한 패턴으로 죽으니까 그냥 참신한 맛도 없고 걍 그랬어요
1,39,
2,46,예고편이 더 재밌는 영화는 또 처음이네
1,49,그냥...피만 보다 왔네...;뭘 얘기하고자 하는지도 모르겠고
1,52,"난생 처음 보는 영화. 개연성도 없고, 영화의 90%는 무의미한 살인만 나오고, 피만 보여주다가 끝나는 영화인데 피를 본 적이 없는 사람이 만든건가 싶을 정도로 현실감 없는 피 연출에 어이없어서 웃음만 나왔음. 배우들 연기력이랑 커리어가 너무 아까운 영화. 액션, 스릴러, 고어 이도저도 아닌 장르도, 스토리도 없는 막장판타지."
1,49,진짜 이런 영화인줄 상상도 못햇다....내참 네임드 배우 더 많이 나오는 잔인한마녀 개10 아류작내 치킨값 돌리도~~~대한민국 영화판 문제깡패영화 흥행하면 죄다 깡패영화개봉 평점알바 새기들 문제
2,50,보다 나오길 참 잘한듯합니다
1,51,2022년버전 7광구.. 잔인하기만하고 최악임 절대보지마오 돈아까워
6,52,처음 리뷰같은거만 보고가서범죄자 vs 경찰들에 배 쟁탈전 이정도일줄 알았는데... 영화 마녀같은 너낌이었습니다....서인국 주인공인줄 알았는데....개잔인ㅜㅜㅜㅠ
10,55,와..배우들 연기미쳤다 눈빛만으로 압도해버림ㅠ
10,57,찢었다...연기 걍 미쳤음ㅋㅋ몰입도 장난 아님
10,99,시사회로 먼저보았습니다. 그냥 상상초월이예요. 한국도 이런 영화 찍을수있구나 감독님 연출력에 감탄했고 배우분들 연기력은 그냥 존경입니다! 청줄이여서 긴장감이있지만 다들 양껏보시고 같이 재미공유해요
5,30,생각보다 많이 잔인합니다...
1,43,역대급 잔인함;; 별로에요
2,43,영화끝나고 기억에 남는건 피튀기는것뿐.. 스토리가 갑자기 산으로가서 그때부터 멍해짐~ 넘 기대했나봐요..
1,46,감상평도 남기기 싫지만 네포 때문에 남긴다... 욕 나왔다
2,48,"중간부터 내용이 산으로 가길래 별로다 라고 생각했는데나끝나고 나오면서 옆에 사람들이 ""아 내가 이걸왜 돈주고봐지"" 하네요"
10,50,배우님들 연기 최고이며 잔인함 끝판왕 ~
10,60,진짜 충격의 연속이었던 역대급 청불영화...ㄷㄷㄷ 방심하고 봤다가 충격 많이 먹었다...ㅋㅋㅋ 요즘 개봉하는 영화 중에 색깔이 가장 독보적인 영화!
10,71,잔인한거 잘못보는데 초반엔 움찔움찔 하다 뒤로갈수록 적응하게되네요 반전에 반전이라 당혹스럽기도한데 시간순삭이고 배우들연기가 대박이에요
8,86,영화 잘봤습니다 영화 잘봤습니다
5,32,솔직한 감상평으로는 유튜버들이 편집이 먹여살린 영화라고 생각합니다. 저도 유튜브 프리뷰를 보고 재밌겠다는 생각에 극장으로 발걸음을 옮겼지만 유튜브 예고편은 빙산의 일각이였네요
2,34,이렇게까지 잔인할 필요가 있나 싶네요.
1,38,잔인한 것 말고는 아무것도 없는 영화
6,40,"흠... 범죄자들끼리의 난잡한 액션씬을 기대했건만.... 갑자기 이게 뭔.... 흠....감독이 영화""마녀""가 부러웠던것일까....흠..."
7,42,영화는 피분수 그자체..서인국 연기 잘하네
3,45,낚였음 ㅠㅠ 노잼 비추천해요
8,45,한국에서 이런 잔인한 영화도 만들수있구나 하는 생각이 첫번째로 들었어요 놀라는 포인트들도 군데군데 있었고 피가 넘쳐흐르는 장면엔 토쏠릴뻔 했지만저는 쏘쏘하게 봤어요 딴건모르겠고 서인국 연기 잘하는거같아요오
1,46,
8,50,태어나서 이렇게까지 잔인한 영화는 첨 보는거 같아요 그래도 이런 새로운 시도는 좋았던거 같아요! 그리고 배우분들 연기도 좋았고 잘봤어요!!
8,52,"잔인하고 폭력적인 묘사로 관객층 호불호가 크게 갈릴수 있습니다. 처음 예고처럼 단순한 범죄자들 테러물로 묘사되지만 후반부로 갈수록 장르가 바뀌는 복합장르물을 보여주고, 한 장르만 연출했다면 지루했을듯한데 장르에 변주를 줘서 정말 재밌게 봤습니다. 특이한 괴작이라 불릴만하며 개인취향은 만족했지만 함부로 추천하긴 어려운 영화입니다"
10,58,크게 기대안했는데 시원시원하니 볼만하네요 스릴있습니다.간만에 속이 뻥 뚤리는 기분이랄까 모처럼 극장에 콧바람 쐬러 갔는데 잼나게 봤습니다.
10,65,와 진짜 입 벌리고 봄 ㄷㄷ 그냥 눈을 뗄 수 없음 무엇을 상상하든 그 이상이라는게 찐임 볼 맛나는 액션까지.. 굿
10,72,"진짜 제대로 쎈 영화, 보는 내내 후덜덜 했으나, 완전 몰입!"
6,27,한국영화중에선 보기 드문 잔인한 영화네요 후속작이 나올지는 모르겠지만 스토리떡밥이 너무 많아 아쉽습니다
2,35,빨리 나오고 싶어지는 영화였어요
2,35,보기 너무 힘들었어요 추천하지 않아요
9,37,이것이야말로 진정한 청소년 관람불가다.
1,46,와 무슨 낚시하는것도 아니고 초반 30분외엔 정말 볼거리가 없네요.무슨 도장깨기처럼 깨러다니는것도 아니고 나참 진짜 점점 산으로가는 빡쳐서 콜라만 벌컥벌컥마시다가 나왔네요
6,27,
1,28,말하기싫음 예고편이에속았다
1,33,
4,34,배우들 연기는 좋았는데 내용은 잘 모르겠네요 초반에는 괜찮게봤는데 점점 산으로 가는 느낌..
2,38,"서인국빼고는 닼ㅋㄱㅋ진짜 느낌없고, 피만주구장창 우리나라는 꼭 청불이면 강간,야하고더러운장면 진짜 돈아까웠음ㅎㅎㅎ"
