전국_가구,전국_가구/가전,전국_가전제품/정보통신기기,전국_건강보조식품,전국_공과금/개인및전문서비스,전국_교육,전국_국산자동차신품,전국_금융/보험,전국_기타,전국_기타운송수단,전국_대중교통,전국_대형마트/유통전문점,전국_면세점,전국_백화점,전국_복식잡화,전국_서적/문구,전국_숙박,전국_숙박/음식,전국_슈퍼마켓,전국_스포츠/오락/여가,전국_시계/귀금속/안경,전국_식료품,전국_여행/교통,전국_여행사/자동차임대,전국_연료,전국_오락/문화,전국_음식점,전국_의료/보건,전국_의류/잡화,전국_의복/직물,전국_일반병의원/기타의료기관,전국_일반식료품,전국_자동차,전국_자동차부품및정비,전국_전자상거래/통신판매,전국_종합병원,전국_종합소매,전국_편의점,전국_합계,전국_항공사,전국_화장품
175398,1493629,1318230,62328,4518159,1050433,1524270,1489857,2881604,130517,535321,2806506,157899,1179766,101263,280588,244365,4897824,1822328,984156,209231,620739,1143946,170982,2430193,1264744,4653459,3029010,1208483,637044,2335235,558411,2342967,688180,5424587,693775,6582950,616452,40379125,437642,260945
180610,1207915,1027305,62661,3803522,1089188,1432095,1490966,2847800,134156,557038,2709343,171708,1074327,88214,266377,335472,5089438,1815117,1013677,209588,667801,1067750,143349,2470600,1280054,4753966,3088833,1066545,513174,2372360,605140,2246442,680191,5228164,716473,6413324,642829,39058343,367363,255569
183534,1108548,925014,96826,4028854,1014083,1677562,1477124,3104343,138914,609444,2698319,169287,1222113,98097,287143,227090,4599173,1808908,985412,196410,819830,1116140,172727,2482900,1272555,4372083,3102825,1258098,680017,2414624,723004,2497748,681273,5623483,688201,6539902,641274,40045608,333969,283574
183796,1128214,944417,72784,3707548,909773,1272141,1422326,2762464,111994,528673,2827791,169677,1382514,97061,239109,267305,4745898,1818460,1128691,182829,796334,964320,107528,2484634,1367800,4478593,2783980,1282405,761416,2180167,723550,1987522,603387,5149374,603813,6828550,630108,38321144,328118,241100
170515,1173757,1003242,64328,3784621,951296,1681293,1499742,2940933,132419,547635,2614526,165761,1510547,101681,257176,229198,4446595,1695525,1074265,174403,674438,1058742,125926,2617081,1331441,4217396,3067709,1409688,871839,2380178,610111,2521312,707600,5903889,687531,6574562,588203,39955806,385180,261765
168843,1098239,929396,66216,3742694,1017197,1650891,1561194,3040014,118586,588399,2646769,157946,1505431,103345,303426,270430,5029593,1740304,944550,190728,724332,1133162,151249,2755197,1247976,4759164,3259965,1326169,760294,2544313,658115,2486465,716988,5887567,715653,6633992,583542,40943757,393515,271803
176672,1179397,1002725,59969,4716929,1037402,1377075,1537239,2998166,107501,556697,2620752,168908,1221065,81398,268635,265792,4715788,1814588,835011,185862,681332,1225236,159068,2644094,1103646,4449996,3324266,1104233,595040,2604254,621363,2087678,603102,6151384,720011,6411773,586461,40918563,509471,241933
165893,1071462,905569,83924,3554140,994975,1311325,1403030,2818422,110549,496269,2607360,141917,1147367,74046,248374,210310,4063180,1755273,736093,174255,829931,1020100,129599,2495457,984467,3852870,2874333,1026474,546324,2265173,746007,1969624,547749,5496556,609160,6180054,528137,36782205,394232,231849
210873,1320810,1109937,64525,3926555,1127710,1844851,1640415,3120761,168228,534478,2585189,158031,1245929,100577,366946,216617,4748810,1753249,995555,223729,645898,1114645,128945,2691116,1362501,4532193,3255285,1288082,698441,2562662,581373,2680230,667151,6255475,692623,6359239,616841,41537532,451222,265336
190410,1298186,1107775,62164,4063920,927649,1672347,1532618,3032376,139556,567536,2607225,163726,1312506,101454,265175,218310,4862183,1801280,1060697,217353,664116,1127544,129531,2594096,1325872,4643872,3056371,1294948,727045,2403128,601953,2455884,643981,6075305,653242,6513418,628681,40824486,430477,249097
188463,1376121,1187658,76865,3927240,1048774,1690247,1608630,3158118,144078,566513,2767897,179929,1340716,107669,271511,263615,5287790,1910316,1172817,223922,727575,1158302,147156,2718437,1444328,5024175,3167694,1359709,759406,2490986,650710,2522026,687701,6305360,676707,6887594,688736,42697697,444632,268712
176823,1295551,1118728,65733,3938546,1026009,1593221,1569384,3072234,148447,569573,2591826,164039,1128479,102792,257237,233226,4948219,1901404,1068320,213761,668295,1144565,137335,2676413,1325557,4714994,3098950,1246555,671476,2432723,602562,2425556,683888,5969106,666227,6495349,709602,40900289,437657,258526
181284,1667447,1486163,61431,4849011,1098645,1578737,1644417,3193540,126129,564206,2883689,164326,1247055,101218,283102,264225,5325864,2004416,1026743,215841,659869,1197714,169882,2839513,1309845,5061638,3211107,1197087,630348,2512488,598437,2441502,736636,6527170,698619,7040266,740780,44202998,463626,249680
175961,1283520,1107559,59220,3924464,1164151,1541021,1632283,3126148,126895,595357,2739157,167001,1097470,87988,274228,343784,5482146,1998102,1002411,212816,694138,1136114,137021,2855696,1276639,5138362,3216860,1034269,491070,2507581,634918,2384930,717014,6153269,709279,6755952,754221,42120579,403737,242395
179308,1102807,923499,103836,4155664,1024291,1398481,1498373,3179707,108981,560186,2974936,160763,1313418,97413,276946,234314,4911353,2093345,1028986,193317,1023536,1024682,142031,2754584,1305932,4677040,2997710,1188502,653076,2378123,919699,2160502,653040,6173655,619587,7259760,717298,41761059,322466,244696
203697,1227403,1023706,68413,4526210,1018810,1689940,1698911,3205337,140272,588052,2664752,167332,1494383,108316,262274,257224,5107224,1876927,1184530,193651,717671,1127138,124617,2863612,1446804,4850000,3240103,1391196,845982,2579860,649258,2520487,690274,6926174,660243,6931247,727852,43948324,414469,243247
172988,1214859,1041871,64486,4228693,1019152,1664435,1647845,3239889,140558,579518,2591375,164116,1446372,103351,267186,235604,4844524,1844802,1085660,177993,727072,1096565,118291,2805127,1352846,4608921,3282910,1327698,799693,2589721,662586,2530480,725487,7111886,693189,6721431,674766,43150978,398756,246661
180838,1153817,972979,62003,4144386,1049948,1663310,1712191,3268518,131484,573547,2729999,163099,1595581,108931,309827,282653,5479388,1926753,992679,194055,764160,1149980,146241,2697088,1302506,5196735,3447439,1299988,755235,2738015,702156,2527738,732943,7325116,709424,7090835,675404,44413098,430192,241766
185582,1262882,1077300,81680,5316773,1138526,1424196,1733680,3286061,114577,570806,2656679,181505,1259884,90256,296970,278665,5139064,1958044,893539,201638,838711,1247162,172400,2507052,1190510,4860399,3633792,1132901,595790,2877983,757030,2195702,656929,7595436,755809,6717820,661708,44936072,503956,245217
177747,1163903,986156,70046,3784134,1074595,1302423,1605506,2930970,109905,507773,2402706,163259,1145085,79194,265248,234013,4475650,1746519,836700,187289,778584,1047980,116224,2216700,1101948,4241637,3066496,1001630,524598,2449364,708538,1956543,544215,6670919,617131,6046211,588642,38921767,423982,210548
205344,1430280,1224936,64453,4054927,1200939,1744513,1829659,3285031,149628,547363,2609639,177788,1351477,103978,379237,231894,5163005,1870629,1071445,227925,703205,1110523,119684,2524854,1450682,4931111,3487020,1241781,657957,2779589,638752,2575204,681062,7741855,707431,6697911,688378,44496876,443476,251921
183900,1268250,1084349,64162,4439136,991952,1687136,1775080,3202985,131219,600598,2551294,184414,1279599,99942,278417,235083,5028386,1892572,1091049,211259,697603,1168304,121724,2504898,1369465,4793303,3368808,1201059,651190,2667619,633441,2463015,644660,7495993,701189,6616299,708420,43591233,445981,238668
175731,1428125,1252394,78030,4373515,1134549,1611936,1828686,3440014,144308,610105,2790584,188463,1390518,110520,280036,257911,5486806,1969621,1217797,232816,760900,1188161,130416,2716282,1497833,5228895,3528229,1317136,723368,2800614,682870,2478845,722601,7817066,727616,7113120,773933,46109266,447640,250431
175220,1230078,1054858,65864,4399967,1098704,1425672,1766931,3244392,143844,579192,2776818,194646,1217059,104620,267709,248770,5249972,1727120,1137907,217216,709244,1120378,121937,2583850,1405616,5001202,3373985,1178323,615586,2675647,643380,2256471,686956,7285161,698338,6691472,775828,43594544,419248,240902
177643,1313486,1135843,63671,5554940,1160300,1485645,1902882,3316420,136759,621196,2897975,215363,1216038,99119,288524,273583,5429889,1748047,1098284,211331,679288,1244302,151500,2566747,1386808,5156306,3492110,1108101,566552,2743171,615617,2321229,698826,7836989,748939,6898126,820703,46211620,471606,231100
184189,1284287,1100097,67104,4450012,1260614,1409116,1842559,3393342,135354,659895,2906000,206622,1157544,91188,283832,352438,5723903,1807037,1083423,215308,751927,1141198,119734,2748775,1367256,5371465,3550365,1020957,481348,2794094,684823,2283828,739358,7560020,756272,6896010,818806,45275053,361569,233112
178369,1129700,951332,91771,4802249,1065444,1363670,1794868,3293583,121186,563133,3100504,200928,1347977,90571,277012,231822,4893228,1759255,1022749,185643,952101,1016303,116155,2505495,1299761,4661406,3155649,1075188,583837,2499330,860329,2125179,640324,7618476,656319,7194243,785579,43921467,337016,215136
194618,1177194,982577,72427,5110605,1080319,1588976,1923089,3464801,131089,631651,2829171,159452,1417561,104876,267784,272643,5396429,1630056,1203418,198534,771597,1147293,116019,2683359,1471202,5123786,3630095,1263757,724413,2900201,699171,2447276,727211,8192105,729895,6839975,803735,46599097,399623,235934
170556,1229948,1059392,68653,4779379,1097669,1707964,1888360,3578956,135699,650339,2857929,155848,1500095,103517,273472,242125,5127577,1618973,1139812,184226,788901,1162818,113368,2720731,1413284,4885452,3595173,1251092,730448,2856374,720249,2596123,752460,8636274,738799,6876805,743959,46743092,399112,232901
189373,1181619,992246,64000,4859530,1107031,1931727,1991209,3536971,140408,658188,2987287,166380,1591453,104787,306808,293875,5766951,1625040,1034784,201425,813504,1237780,132464,2799852,1341593,5473076,3675993,1218961,674527,2922490,749504,2802743,730607,8946683,753503,7127148,756987,48407568,447127,238223
171274,1214098,1042824,95139,5835208,1125630,1292675,1934507,3460643,90963,619625,3120886,154073,1252842,85047,287841,272520,5121652,1776415,898318,191793,1055930,1167049,122484,2727185,1186159,4849133,3726144,1024605,521615,2967523,960791,2018786,635148,8708768,758621,7027176,722959,47333540,424940,226149
187233,1209746,1022512,61035,4541285,1044947,1085631,1900949,3287401,118591,452663,2410262,63114,867316,74216,256650,179012,4147966,1668306,716726,175588,677043,536930,30993,2416052,973377,3968954,3463476,857523,400251,2805100,616008,1805665,601442,8712799,658376,5690934,681937,41266091,53275,207467
191836,1269307,1077471,56868,4350715,639454,2061692,2114417,3165398,138354,335371,2755669,20025,808135,72478,244056,114340,3787335,1883989,724717,154771,772236,254144,22522,2333011,968773,3672995,3104928,790272,378710,2534595,715368,2810192,610146,9356647,570333,6199441,731623,41916271,-103749,184313
196150,1261647,1065498,60845,4606715,785312,2280683,2039624,3284241,156142,394906,2680536,16272,1014428,79546,252593,119281,4193461,1740234,886853,165281,787775,387608,27109,2117983,1139445,4074181,3341103,914246,475703,2719257,726930,3081897,645073,8953650,621846,6171505,720035,43066211,-34408,193715
251835,1545067,1293232,76225,4449370,966100,2398306,2067863,3440454,174034,443148,2976352,29912,1326327,105800,279860,184868,5188829,1783403,1186098,220351,914105,504882,31225,2051030,1465958,5003961,3521711,1241568,705585,2860866,837881,3293540,721199,9362555,660845,6906442,790447,46919475,30509,209832
219977,1553145,1333167,59503,4609527,924970,2672080,2108495,3396206,183984,475004,2870869,34118,1275508,96602,256320,198002,4763538,1673168,1061986,185324,743881,545298,31275,2105299,1318306,4565537,3489329,1080762,601527,2791524,684378,3559317,703253,9511582,697805,6682711,829048,46392367,39019,197310
205585,1354435,1148850,61373,6138407,1018355,2209608,2179082,3559879,146879,511143,2731692,36370,1139479,90088,259227,227796,5004338,1673790,1007458,178282,762720,617638,36688,2193748,1266685,4776541,3670380,955978,485493,2916812,701347,3069080,712593,9590306,753569,6425118,843786,47806147,69806,202114
214586,1571385,1356799,57238,5077314,1062128,1650025,2061184,3373144,140301,467554,3007044,41323,1127005,82513,251671,308338,5050357,1862593,927381,164112,816118,544716,40533,2235001,1179052,4742019,3437263,831741,403250,2746526,758880,2504589,714263,9726021,690737,6907219,869253,46377231,36629,181867
211821,1302834,1091013,95295,5541440,873666,2240987,2092242,3553331,158499,414250,3129762,31305,1203496,79196,250034,158574,3962030,1923558,825140,154034,1093482,465439,32292,2161210,1075173,3803457,3567469,884961,453516,2908201,998188,3129265,729779,10294257,659268,7131539,843418,47128339,18898,198215
200463,1229810,1029348,67778,5477216,938880,2124698,2127185,3483608,147981,459094,2912983,44021,1440540,90032,237057,217832,4669870,1688453,1155316,156499,878412,567377,36544,2183887,1392373,4452038,3362489,1078209,648445,2688972,810634,2958212,685533,10038920,673517,6917751,831755,47304200,71739,183233
189473,1367591,1178117,59204,5044676,956707,2282026,2104931,3489589,148310,485325,2915212,48926,1531594,88156,235826,216006,4523926,1709721,1045559,153882,861371,592846,36021,2201357,1281384,4307920,3430968,1033801,612199,2736517,802167,3125446,695110,10657390,694451,7008770,803317,47680752,71499,179564
181172,1216225,1035053,61234,5391780,816608,2190712,2259455,3486424,160902,382592,2939657,35891,1201164,81684,264321,166937,3301311,1826293,615871,161258,903139,422803,31037,2305368,880192,3134373,3672804,892898,463867,2948399,841905,3120901,769287,11412235,724405,6799615,796610,46881759,9173,186089
182706,1380354,1197648,62597,5733508,940361,1894918,2118462,3419222,126349,367849,2852618,34441,1146482,73345,261448,141790,3285132,1848194,520253,167637,903692,439847,30309,2341164,781702,3143342,3680239,801810,389261,2943796,841095,2721175,699909,11077775,736443,6643834,762099,46268277,41689,171568
165761,1214392,1048632,76148,5377158,981247,1606113,2000766,3318133,133190,377770,2824052,41707,1199774,71679,237598,176232,3457867,1664307,719914,163114,990890,466865,30391,2263411,957512,3281635,3323271,800732,401448,2659956,914742,2315200,575897,10121087,663315,6434908,705068,44023439,58704,164491
195695,1381500,1185804,57187,5294950,1058505,2238059,2346841,3681217,178231,455167,2904229,51267,1482206,92341,318681,204629,4360849,1700329,1065632,196988,824819,583000,35164,2594080,1384313,4156220,3770943,1037262,557425,3005005,767633,3105394,689105,11477414,765938,6968391,830361,49869479,92668,190508
174247,1240752,1066505,60090,5504238,955207,2179851,2207996,3664011,178244,477945,2797917,57838,1366821,91542,256377,204065,4353825,1695685,1107133,191405,848401,605747,39211,2563259,1363510,4149760,3762795,1025764,556236,2993205,788312,3077432,719337,11052310,769590,6745233,826972,48970480,88591,186581
188715,1397976,1209261,68868,5461817,1064589,2029625,2208442,3743320,232167,491998,3121936,58900,1550293,98775,267925,242199,4846461,1822409,1208335,201324,949007,623721,40663,2585568,1476260,4604262,3639642,1071623,583231,2908061,880139,2962071,700280,11753268,731581,7435797,882258,51219562,91060,188293
170821,1328889,1158068,59037,5607320,1038013,2105227,2275121,3689323,200874,501444,2845178,54982,1332067,95845,247124,247700,4588915,1757707,1180369,190353,843926,660371,40433,2607119,1427493,4341215,3825910,1031048,550783,3037951,784889,3055501,749400,11332876,787959,6898086,908153,50209911,118494,194066
171000,1517272,1346272,60757,6932611,1114320,2035076,2316749,3863287,167981,467392,2968141,41115,1195312,91459,269502,251572,4433833,1856760,1075675,196858,852405,577479,40784,2801180,1345177,4182261,3941412,952645,472689,3118293,791647,3010513,807456,11921832,823118,7002567,941240,52583282,69303,191639
185255,1383383,1198128,56790,5563379,1174562,1627510,2222994,3642259,208292,443828,3102625,42612,1269703,83440,255277,293011,4412871,1931481,1018812,196371,921161,545371,39083,2728556,1274088,4119860,3741396,847157,395108,2962058,864371,2546455,710653,11762070,779338,7310362,963941,50076065,62459,172239
173412,1184915,1011503,99421,6210697,1044414,1444815,2215425,3832871,178088,464042,3108158,40624,1485330,91523,267622,217402,4275841,1910003,1102020,198186,1265704,584841,38146,2627140,1369642,4058439,3549924,1008459,530767,2831907,1166284,2322181,699278,11733727,718017,7484689,940574,50710469,82653,187984
206519,1306848,1100330,70628,5788455,1091013,1785893,2270433,3900265,161889,517628,2928618,53155,1720790,107127,265299,262937,5029421,1763608,1309177,205314,977925,697987,46775,2928012,1574476,4766483,4033402,1210118,703341,3240096,907297,2757606,809824,12498677,793306,7404979,938808,53469616,133584,194336
180317,1301222,1120905,62593,5540579,1034652,1925092,2288994,3910405,153286,561356,2988072,62887,1780818,99381,251015,273796,5132933,1762762,1233807,178661,975218,771992,46366,3007486,1484822,4859137,3879853,1139854,676926,3109484,912625,2862530,784152,12988975,770369,7507863,913325,53827378,164270,184886
172380,1152933,980552,62612,6024233,1076254,2020166,2411250,4041091,146693,522851,2923811,51568,1650980,99368,297590,273284,4715665,1775922,974801,195287,1001439,620872,39283,3004262,1272392,4442381,4095031,1082268,587632,3282261,938827,2996016,829157,13200630,812771,7299173,896891,53993508,58738,199981
174899,1283768,1108869,84934,7204997,1110997,1458802,2243569,3968446,132037,499884,3165932,48982,1604401,89593,282523,262421,4435454,1942293,851242,195055,1285590,642424,41570,2946530,1133765,4173034,4183821,977024,505617,3375385,1200656,2326235,735397,13162164,808436,7634707,873099,54539492,100970,186759
152180,1187513,1035333,47572,5478483,1019333,1618709,2130398,3597376,135860,411769,2575148,44683,1286777,73215,236228,243682,3690207,1565735,784177,168290,798669,539946,37589,2632130,1020406,3446524,3652065,793406,400477,2990490,751097,2321611,567042,11902937,661575,6265129,792786,47029608,90588,151425
160590,1237140,1076550,55824,5924848,1128420,1721385,2514571,4084527,193907,455447,2868236,49332,1493279,89067,331379,222313,4409997,1811634,1096302,189904,889680,681052,44071,3166700,1427681,4187684,4231914,979952,521472,3499267,833856,2604256,688965,13475197,732647,7178711,956231,53934645,181534,179508
156069,1200897,1044828,59687,5976065,1031190,1865454,2339679,4197811,208432,556072,2873688,63306,1627246,101090,266791,248080,5259467,1773061,1329752,201547,947790,884607,52127,3357221,1596543,5011387,4091324,1120008,637929,3316371,888102,2824788,750902,13032409,774953,7279162,941861,55138961,276408,179442
165501,1283467,1117967,65342,5992743,1137731,1901482,2351098,4247706,190186,625947,3235987,72408,1871565,117574,276917,317949,6322068,1906653,1540016,224967,1039780,994718,56602,3570512,1816934,6004120,4040995,1229110,700328,3243231,974438,2854137,762469,13455127,797764,8115289,1028676,58451416,312168,186242
