장르,스토리/캐릭터명,배우/연기,감독,영상미/연출,OST/사운드,감상,기타
장르,스토리,배우,감독,묘사,사운드,재미,제작비
액션,개연성,연기,이상용,영상,음악,지루,
애니메이션,결말,연기력,김한민,연출,노래,취향,
드라마,엔딩,출연진,이석훈,미장센,배경 음악,호불호,
범죄,납득,마동석,천명관,그림,,유치,
스릴러,복선,손석구,최동훈,장면,,감상,
코미디,떡밥,최귀화,김홍선,씬,,이해,
멜로,플롯,박지환,전우치,호강,,궁금,
로맨스,인물,허동원,명량,눈호강,,평점,
공포,반전,하준,,,,기대,
호러,내용,서인국,,,,추천,
sf,극적,장동윤,,,,혹평,
SF,처음,최귀화,,,,호평,
sf물,전편,류준열,,,,중간,
SF물,예고편,김우빈,,,,걱정,
성인물,속편,김태리,,,,흥미,
미스터리,1편,정우,,,,간만,
판타지,1부,김갑수,,,,오랜만,
어드벤처,1탄,출연,,,,시원,
사극,2편,마블리,,,,꿀잼,
가족,2부,매력,,,,통쾌,
전쟁,2탄,연기,,,,잔인,
다큐멘터리,전개,배우,,,,아주,
기타,시리즈,얼굴,,,,킬링타임,
뮤지컬,박종두,현빈,,,,국뽕,
공연,이도일,유해진,,,,웅장,
서부극,알파,윤아,,,,감동,
,무륵,다니엘 헤니,,,,망작,
,가드,다니엘헤니,,,,여름,
,썬더,진선규,,,,별로,
,이안,장영남,,,,신선,
,희수,목소리,,,,만족,
,손영감,박해일,,,,가족,
,구씨,안성기,,,,명절,
,짱구,변요한,,,,무난,
,이순신,손현주,,,,삼류,
,마석도,김성규,,,,전형,
,강해상,김성균,,,,전형적,
,전일만,,,,,,
,장이수,,,,,,
,오동균,,,,,,
,강홍석,,,,,,
,림철령,,,,,,
,강진태,,,,,,
,박민역,,,,,,
,잭,,,,,,
,장명준,,,,,,
,콘에어,,,,,,
,콘 에어,,,,,,
,노량,,,,,,
,노량진,,,,,,
,해상전투,,,,,,
,거북선,,,,,,
,조폭,,,,,,
,깡패,,,,,,
,부산,,,,,,
,부하,,,,,,